Temp(C);Modulus 0,1;Modulus 1;Modulus 10;Loss Modulus 0,1;Loss Modulus 1;Loss Modulus 10;Tan Delta 0,1;Tan Delta 1;Tan Delta 10
-21.8708333333333;2224645569.86703;2465340323.1439;2592211732.09367;124423911.101881;116791494.543041;-34650270.2049102;0.055929768223402;0.0473733761812257;-0.01336706788875
-20.7083333333333;2232603329.99702;2523192382.41741;2590623093.40626;154801567.031918;102987712.77105;-29286407.5000155;0.0693367984146673;0.0408164329793911;-0.0113047735792043
-20.7416666666667;2294943324.1993;2569138343.81467;2630247983.2173;136318126.169581;71052192.3333366;-28754481.2556989;0.0593993432134725;0.0276560398175514;-0.0109322320325579
-20.4416666666667;2257744875.14003;2543094868.21436;2650816835.6929;130612205.451276;75076509.9092162;-21077850.5532647;0.0578507372066009;0.0295217102781272;-0.00795145491361539
-20.6666666666667;2298634796.52325;2528408913.62452;2707335245.68967;155535668.872699;129853677.809267;-23837425.7721597;0.0676643671747904;0.0513578626896704;-0.00880475582405655
-19.8291666666667;2285276052.302;2476125951.35802;2671682319.45781;175247480.009454;147616917.860766;-20165301.7125259;0.0766854751892772;0.0596160780027388;-0.00754779172870307
-20.2083333333333;2291136543.05265;2508902020.82197;2663798396.08229;142468096.67168;78873585.241316;-55657452.4928413;0.0621822811493631;0.0314374912159684;-0.0208940183216185
-20.9916666666667;2293961115.00109;2482326450.73547;2604093600.29458;131249778.871742;85490219.3366269;-24361146.3326789;0.0572153459853567;0.0344395554062995;-0.00935494266792987
-17.4583333333333;2253141899.51683;2410553744.34772;2555290599.87035;144026792.46051;93291234.4261407;-28341994.0940648;0.0639226461908129;0.0387011634338751;-0.0110914954625915
-16.7791666666667;2232133791.74104;2412679206.51137;2583349800.05266;133774469.480683;106534339.474088;-6562671.59231065;0.0599312057259526;0.0441560316790446;-0.00254037281059532
-17.45;2252219969.47373;2398804743.00495;2544461853.96553;150797607.090558;140836871.16759;-8938730.78405319;0.0669550972526873;0.0587112692595254;-0.00351301426276924
-15.6166666666667;2195616118.81266;2353215741.17007;2477869338.35139;136631133.980482;88940571.3328438;-5862917.11113783;0.0622290630906686;0.0377953324792144;-0.00236611229671966
-14.65;2157100075.9798;2302270334.41872;2466699324.13574;137834689.573579;151448478.460791;-15711526.5111408;0.0638981432101481;0.0657822307817859;-0.00636945344631563
-14.25;2116007136.33752;2335094500.44099;2488664635.72163;160561606.254777;116173718.58352;-59027251.8325348;0.0758795202045886;0.0497511850426525;-0.023718443612399
-13.35;2123258063.88278;2313771309.95856;2475927081.79414;115451177.054158;101703444.79732;-15641878.7961329;0.0543745383653616;0.0439557031239795;-0.00631758459736152
-12.4416666666667;2088839072.02802;2291100834.28518;2439659386.57202;146347257.84792;97574633.2076824;-1737135.28017969;0.0700615283425514;0.0425885372426769;-0.000712040086309158
-11.7083333333333;2061112253.17885;2270573512.54208;2403847910.79352;123022993.900012;119410179.413883;48784.7844841458;0.0596876728622007;0.0525903163911194;0.000020294455512388
-10.8041666666667;2073847307.62508;2225022098.86462;2370512349.22476;166825364.669962;117370535.871918;-8222151.56438437;0.0804424530468475;0.0527502787193933;-0.00346851243659343
-9.975;2006507913.83862;2204265660.05131;2351814120.66899;128572006.224749;109557946.959165;-3333589.41409473;0.0640774976953766;0.0497026964329767;-0.00141745445985607
-9.04583333333333;1961146907.82958;2207592643.34409;2348368527.346;152550459.369674;84103425.8321078;-4663527.97332398;0.0777863497939088;0.0380973482973322;-0.00198585865847659
-8.25;1963972028.83351;2168122031.57991;2330112145.02927;103186906.116576;89670233.3056124;-4001714.31682674;0.0525399061705899;0.041358480749476;-0.00171739129610711
-7.47916666666667;1955799421.79018;2124482866.77365;2262962003.27851;137589679.054964;110054205.829074;1514470.00703123;0.0703495857100857;0.0518028210772103;0.000669242349114614
-6.55;1946943203.57142;2114825915.97306;2284067816.2419;131286467.959055;74473440.1250611;17690157.1654706;0.0674320995693284;0.0352149269415374;0.00774502273517305
-5.7625;1915879003.37861;2077670489.01622;2289506049.51437;122014730.166548;116477735.925203;29751532.7249159;0.0636860312949709;0.0560616982052604;0.0129947386385926
-4.875;1910969166.3554;2067980271.68252;2260633381.24157;124884079.070776;158547129.010495;11028129.1970842;0.065351174299141;0.0766676216313708;0.00487833599582936
-3.8625;1874706660.38864;2097349157.01119;2234051271.28843;122533384.591192;120573841.729077;31266440.876668;0.0653613640897771;0.0574886834297535;0.0139953998721953
-3.12916666666667;1874646432.57873;2050750023.91198;2229656203.54589;97319019.2556101;101322603.833805;-10493081.9970986;0.051913266184141;0.0494075838851014;-0.00470614347647461
-2.25416666666667;1857518210.25174;2068104873.93321;2218700850.40176;113014338.573302;155136671.827621;27710596.7178901;0.0608415777296665;0.0750139288306859;0.0124895596956536
-1.3875;1862747090.90191;2028993176.86874;2181685594.25098;110453213.520977;129730997.068673;63417888.7611815;0.0592958722418389;0.0639386068655401;0.0290682988090932
-0.3625;1861502847.07326;2034272523.94395;2207022996.57384;136472946.684803;115740544.58224;27479619.8804314;0.0733133161194849;0.0568952995333425;0.0124509893748686
0.3625;1847941336.81568;1992222248.07782;2199324273.4769;127717220.204257;99614090.055942;16981608.9614496;0.0691132438350753;0.0500014946384892;0.00772128474470184
1.325;1851545680.68448;2019038186.90244;2173707525.28302;131774132.342953;81364704.5879316;34609962.5604195;0.0711697981408912;0.0402987447764717;0.015922088026039
2.2125;1826278830.11565;2009780156.8924;2187885277.30531;97453035.3972273;168123604.20448;42814900.0183374;0.0533615315417393;0.0836527336723433;0.019569079084014
3.0625;1809247105.46053;1995633750.52906;2118046633.44603;110105846.812836;127170272.716464;27131751.9222898;0.060857273990116;0.0637242543541622;0.0128097991299402
3.94166666666667;1794861603.48546;1977938036.70546;2122582488.34905;63597875.3324947;105631148.902508;38427745.2944968;0.0354333031633155;0.0534046805017472;0.0181042411804622
4.89583333333333;1789207117.21553;1925658023.97556;2112681627.19558;98492565.7494185;115321442.540195;52516281.7932974;0.0550481634025124;0.0598867717447107;0.0248576411690618
5.69583333333333;1785762798.77179;1939754217.72178;2110461076.90831;102544822.240261;115220565.072062;37493795.4503605;0.0574235404112958;0.0593995692956331;0.0177656891475519
6.625;1750851680.06895;1901308311.91899;2089649546.28564;116199782.70354;114832398.403082;50327203.3295364;0.0663675764351233;0.0603965162741972;0.0240840400338866
7.59166666666667;1725701847.01518;1877182675.30969;2041168114.88706;95662219.4781694;110180768.40442;73424997.1935883;0.055433804885606;0.058694750305131;0.0359720478965305
8.22083333333333;1694390298.54218;1852196389.02518;2010318079.80966;110216497.92845;125506357.881837;22990356.7941348;0.0650478806584751;0.0677608263494628;0.0114361786948221
9.09166666666667;1709811197.78099;1812326879.98528;1980727660.74954;89003394.6646289;103379700.15172;42758838.1245086;0.0520545161829203;0.057042524333447;0.0215874392890177
10.0416666666667;1679171980.00525;1813479784.93595;1990984237.57966;79012164.5904415;95416620.8092915;32971453.8347105;0.047054241930713;0.0526152106033327;0.0165603791393106
11.0541666666667;1682869306.10648;1806323194.76867;1979366594.28304;96643230.1192579;110427312.500677;46892091.1122483;0.0574276503639215;0.0611337510477014;0.0236904529194772
11.9041666666667;1651718929.56252;1789789639.79779;1924061777.06397;95192875.7019748;138224262.182711;38593840.2062744;0.0576326116981586;0.0772293341681919;0.0200585244540157
12.8291666666667;1639157882.38874;1799585787.73709;1933988973.4818;70013541.8999816;108733449.255396;44310203.4895109;0.0427131166876683;0.0604213758501194;0.022911300993479
13.6916666666667;1624834653.74936;1760260375.21926;1884572342.31577;84173957.6116849;122356545.782003;51535725.081412;0.0518046297310626;0.0695104812359148;0.0273461113294727
14.575;1592150786.77936;1733021573.61814;1863260956.79482;77416688.3812282;92805204.7415156;55166683.3566308;0.0486239676694369;0.0535510960476738;0.0296075990619846
15.4458333333333;1593480323.55589;1739384041.98909;1856990924.42897;92205289.3315448;110652551.375982;50182127.14385;0.0578640902987659;0.063615940301168;0.0270233561638333
16.3375;1578171980.60572;1723972619.2278;1839657841.29652;84403347.9947692;102217222.892183;47362972.5483942;0.0534817174756673;0.0592916742134615;0.0257455334819298
17.2458333333333;1542166209.32623;1682477425.11472;1841040954.01478;74637163.1517436;109395357.632096;41113338.0052455;0.0483976128515695;0.0650204014622286;0.0223315716663387
18.1;1551963628.76313;1666782572.21644;1809591945.92661;74537483.356263;98829406.4976268;30180741.1416084;0.0480278545030511;0.059293520429726;0.0166782026243791
18.9166666666667;1529310462.421;1664244280.6104;1823906923.3008;70868890.7002015;108784081.928946;51090374.8166138;0.0463404210208641;0.0653654533750577;0.0280115033085973
19.7708333333333;1533987304.51087;1643575200.06919;1789079262.25662;77108751.5152326;84463176.0059661;51638103.6637393;0.0502668772345673;0.0513899065904683;0.0288629490895818
20.6;1501331710.97656;1638057228.55653;1770665190.22649;74357859.1407239;99091996.7351198;38590444.9745083;0.0495279348308422;0.0604936109725789;0.021794320681016
21.7041666666667;1496931327.74102;1611239172.57825;1759530316.5068;64536878.021533;101479933.188886;51863392.1945161;0.0431127846852694;0.0629825384809268;0.0294757025258198
22.5916666666667;1490067282.14779;1601732066.61276;1773922891.89591;77962863.667273;98624229.3795878;46610269.9912533;0.0523217069466131;0.0615734874985377;0.0262752514239431
23.2625;1501910945.17941;1609699641.7098;1782452532.97178;58882584.7260967;105453611.130353;77980586.2363357;0.0392051106059839;0.0655113590125058;0.0437490394800715
23.9875;1497759655.26272;1588695235.94983;1732640670.0072;66188233.7212389;100466616.914927;47419223.1656954;0.0441914919317472;0.0632384453868278;0.0273681808274177
24.8291666666667;1461519727.87313;1560686112.54721;1720712986.13206;71764461.5133713;93522074.2399198;31973814.0923891;0.0491026293690925;0.059923692206937;0.0185817241748503
25.6958333333333;1449781867.20676;1552307554.9386;1684401327.38138;65972986.1487527;119824876.060907;50065501.4818746;0.0455054568145898;0.0771914532527329;0.029723024238949
26.4791666666667;1448193893.58204;1553546223.53864;1664138592.91916;53046698.3833903;86440780.3309773;60111685.0362153;0.0366295553506181;0.0556409452266467;0.0361218021695958
27.2666666666667;1451889474.30179;1548353858.89331;1687858785.30228;64186041.5881706;102009173.3568;50432413.7762697;0.044208627946034;0.0658823386985396;0.0298795220402505
28.1166666666667;1432224843.00555;1552556724.08206;1673149084.18244;78736649.3444449;88697521.2621214;53886110.4217842;0.0549750618619451;0.0571299714118742;0.0322064010500982
28.7583333333333;1433913428.64325;1539537064.2516;1675438757.4974;68612906.6947223;95037042.0312305;44588663.1256019;0.0478501040049836;0.0617309217413548;0.026613126219071
29.5875;1438967918.08134;1526854811.93961;1657570137.0923;49716525.5919463;88075266.2238842;60761866.0057277;0.0345501278848775;0.0576841134698324;0.0366571915396086
30.4291666666667;1419463850.87481;1520833604.68344;1639882296.85007;76279404.8522534;106421967.289095;49053109.9252901;0.0537381806554937;0.0699760755952303;0.0299125797135031
