Temp(C);Modulus 0,1;Modulus 1;Modulus 10;Loss Modulus 0,1;Loss Modulus 1;Loss Modulus 10;Tan Delta 0,1;Tan Delta 1;Tan Delta 10
-23.6375;2480951705.81562;2696845917.71919;2747525916.0769;144107681.700143;88729214.3270728;-72085303.6354864;0.0580856456666768;0.0329011063420761;-0.0262364417433465
-21.725;2496532215.90428;2677343462.71917;2725522026.05535;123136457.57751;74447987.0733082;-90486152.5310102;0.049322999636481;0.0278066628768269;-0.033199567519904
-20.9333333333333;2504059888.37577;2655611497.71443;2761287693.09957;95815063.5855395;86171704.5415483;-121015076.306283;0.038263886590863;0.0324489122809239;-0.0438255950688145
-20.35;2478840200.3005;2657012851.27975;2755968223.34705;117275469.430226;87909363.929992;-73829297.2984577;0.0473106210783612;0.0330857880072543;-0.0267888782871357
-20.2;2511979439.45515;2688376244.16918;2719365445.24726;160666069.371344;85835812.7263816;-123316315.21331;0.0639599460281381;0.0319284969551977;-0.0453474598012688
-20.1916666666667;2457094141.41483;2653125193.97311;2804543788.35226;124632095.731222;52915184.578354;-101951361.416697;0.050723370191855;0.0199444732945724;-0.0363522088120422
-20.5;2471939707.53527;2639467776.21319;2721273491.78998;118270599.802727;66419086.4706284;-85146575.3155257;0.0478452607246851;0.0251638178988944;-0.0312892385026389
-20.1166666666667;2487759297.46698;2717443452.21526;2774773848.67348;116633440.186877;103822803.753861;-65134765.1515927;0.0468829280652804;0.0382060585912927;-0.0234739004703866
-20.1;2447091102.18351;2673443669.7519;2762818375.69467;131210390.084764;68057284.0002381;-128224531.631409;0.0536189232871984;0.0254567862305302;-0.046410771247013
-21.1083333333333;2435537880.59555;2724006412.19704;2775834341.67768;145505771.137817;71344495.6690788;-94698012.4391014;0.0597427665966902;0.0261910160525416;-0.0341151527010316
-19.025;2539455760.62847;2679781576.20832;2747991814.21207;194339395.474497;64078026.659977;-91958387.556458;0.0765279704760053;0.0239116602744327;-0.0334638506129704
-18.4166666666667;2461668954.94653;2659033584.6786;2766720130.48384;153875788.515444;56686928.4313536;-73392542.9716094;0.0625087253126553;0.0213186207041479;-0.0265269125572071
-17.4291666666667;2488622445.12912;2662210180.28574;2746075418.43949;132515340.645627;81270632.14197;-95013349.496327;0.0532484712194869;0.0305275040805558;-0.0345996868324615
-16.5375;2478128136.74325;2670630156.01253;2739952993.76883;196414177.295096;83605596.9659321;-43410019.0282449;0.0792590884962159;0.0313055691285843;-0.0158433444394731
-15.6;2478832607.86743;2605840571.99427;2747298270.56693;72661083.830846;94505306.8944784;-44440180.29161;0.0293126222400944;0.0362667263339725;-0.0161759575826615
-14.8458333333333;2436357825.01859;2614863198.87591;2677307973.68824;145942347.173496;105733969.151809;-47930860.8735625;0.0599018525418705;0.0404357555673517;-0.0179026325490427
-13.9583333333333;2416244358.34519;2587105972.8467;2665800004.78626;158028131.354653;66647816.0117039;-67781846.6330961;0.0654023798581702;0.0257615330455012;-0.0254264560399874
-13.05;2385500430.82919;2566641439.80943;2677766164.80833;155013034.750972;87451409.6462825;-63253031.6985681;0.0649813484615846;0.0340723126689545;-0.0236215665616552
-12.2291666666667;2353336863.02437;2566974212.52669;2644852236.08304;168196215.01748;65280776.0587434;-70384624.5130234;0.0714713722715089;0.0254310213714563;-0.0266119307357833
-11.4208333333333;2355361900.61386;2564782848.26947;2671846413.5213;166041671.074122;65804038.0182182;-61135659.6388317;0.0704951842138773;0.0256567678088685;-0.02288142736403
-10.5791666666667;2325037388.5441;2486089065.31738;2645221645.65099;156668674.534468;129776335.867136;-53619565.8674551;0.0673832925467798;0.0522010002286737;-0.0202703489726886
-8.79166666666667;2327387108.74408;2458191506.94862;2601142922.52159;175305476.108918;99760145.9892532;-58010467.0199704;0.0753228697754187;0.0405827396715265;-0.0223019144844737
-7.89166666666667;2277779938.61977;2463361413.79731;2562096719.80169;129107579.292395;69322471.1105928;-43110184.7140277;0.0566813225032744;0.0281414130798336;-0.0168261347750231
